Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0005615~extracellular space	19	12.3376623377	9.38018717445e-05	33684_AT, 33530_AT, 38604_AT, 37454_AT, 38691_S_AT, 31793_AT, 33284_AT, 1403_S_AT, 32250_AT, 37905_R_AT, 37061_AT, 37172_AT, 34623_AT, 34546_AT, 36703_AT, 34618_AT, 1890_AT, 38508_S_AT, 31506_S_AT, 36436_AT	124	685	12782	2.85917117966	0.0195065532983	0.00654492704989	0.118445137893
GOTERM_MF_FAT	GO:0020037~heme binding	8	5.19480519481	0.000103365975044	34453_AT, 38229_AT, 33284_AT, 33516_AT, 1391_S_AT, 1419_G_AT, 31687_F_AT, 31525_S_AT	117	121	12983	7.33658260931	0.0374256954063	0.0188912880859	0.14238801264
SP_PIR_KEYWORDS	chromoprotein	6	3.8961038961	0.000110984055416	38229_AT, 33284_AT, 33516_AT, 1391_S_AT, 31687_F_AT, 31525_S_AT	148	62	19235	12.5773757629	0.035107756941	0.00593877022384	0.149803889478
GOTERM_BP_FAT	GO:0006952~defense response	18	11.6883116883	0.000131626380105	33963_AT, 34636_AT, 37454_AT, 31793_AT, 33284_AT, 1403_S_AT, 37968_AT, 32250_AT, 34623_AT, 1910_S_AT, 34546_AT, 679_AT, 35956_S_AT, 36703_AT, 37898_R_AT, 1419_G_AT, 31506_S_AT, 1372_AT, 37105_AT, 33979_AT	136	615	13528	2.91133428981	0.170054482376	0.170054482376	0.216955949192
GOTERM_BP_FAT	GO:0009617~response to bacterium	10	6.49350649351	0.000135298754629	33963_AT, 32439_AT, 679_AT, 31793_AT, 1403_S_AT, 1419_G_AT, 31506_S_AT, 37105_AT, 37061_AT, 34623_AT, 34546_AT, 33979_AT	136	193	13528	5.15391648888	0.174359638684	0.0913524548454	0.223002672601
GOTERM_MF_FAT	GO:0046906~tetrapyrrole binding	8	5.19480519481	0.000154313090107	34453_AT, 38229_AT, 33284_AT, 33516_AT, 1391_S_AT, 1419_G_AT, 31687_F_AT, 31525_S_AT	117	129	12983	6.88160074207	0.0553548494905	0.0188029515498	0.212499144126
SP_PIR_KEYWORDS	antibiotic	6	3.8961038961	0.000172337154581	33963_AT, 679_AT, 31793_AT, 31506_S_AT, 37105_AT, 34623_AT, 34546_AT, 33979_AT	148	68	19235	11.4676073132	0.053985465648	0.00789684706659	0.232527767735
SP_PIR_KEYWORDS	Antimicrobial	6	3.8961038961	0.000211337998104	33963_AT, 679_AT, 31793_AT, 31506_S_AT, 37105_AT, 34623_AT, 34546_AT, 33979_AT	148	71	19235	10.9830605253	0.0657937374313	0.00847116912657	0.285080557997
SP_PIR_KEYWORDS	chemotaxis	6	3.8961038961	0.000225724953943	33963_AT, 36703_AT, 37454_AT, 1403_S_AT, 36436_AT, 36766_AT	148	72	19235	10.830518018	0.0701124737239	0.00804431874402	0.304460196028
SP_PIR_KEYWORDS	glycoprotein	53	34.4155844156	0.000234910339504	38646_S_AT, 33077_AT, 33284_AT, 35915_AT, 37968_AT, 1355_G_AT, 1855_AT, 33293_AT, 35090_G_AT, 35956_S_AT, 1575_AT, 33979_AT, 40350_AT, 1974_S_AT, 38236_AT, 1403_S_AT, 1112_G_AT, 32250_AT, 1901_S_AT, 37172_AT, 36766_AT, 1786_AT, 31987_AT, 37096_AT, 1890_AT, 37097_AT, 1372_AT, 37105_AT, 34436_AT, 35566_F_AT, 33963_AT, 38926_AT, 33684_AT, 33530_AT, 35903_AT, 37408_AT, 31525_S_AT, 34467_G_AT, 679_AT, 37983_AT, 35091_AT, 35121_AT, 34618_AT, 37953_S_AT, 32469_AT, 32439_AT, 32084_AT, 1331_S_AT, 35169_AT, 36378_AT, 36328_AT, 31687_F_AT, 40317_AT, 38508_S_AT, 2090_I_AT	148	4318	19235	1.59523146352	0.0728593650438	0.0075364589117	0.316831346996
SP_PIR_KEYWORDS	Immunoglobulin domain	13	8.44155844156	0.000268388979131	35038_AT, 32469_AT, 33530_AT, 33077_AT, 1112_G_AT, 37968_AT, 1355_G_AT, 1786_AT, 31987_AT, 31512_AT, 35090_G_AT, 35956_S_AT, 35091_AT, 35566_F_AT	148	470	19235	3.59481023577	0.0828028640561	0.00782674216666	0.361909345234
SP_PIR_KEYWORDS	metalloprotein	7	4.54545454545	0.000383127866033	34636_AT, 38229_AT, 33284_AT, 33516_AT, 1391_S_AT, 31687_F_AT, 31525_S_AT	148	124	19235	7.33680252833	0.116081850418	0.0102298827681	0.516258702071
GOTERM_MF_FAT	GO:0005506~iron ion binding	11	7.14285714286	0.000432376206818	32073_AT, 34453_AT, 34636_AT, 38229_AT, 33284_AT, 33516_AT, 1391_S_AT, 1419_G_AT, 31687_F_AT, 31525_S_AT, 37166_AT	117	308	12983	3.96306471306	0.147499362808	0.039109990327	0.594353214124
UP_SEQ_FEATURE	domain:Ig-like C2-type 1	8	5.19480519481	0.000626392879135	35038_AT, 31987_AT, 33530_AT, 33077_AT, 35956_S_AT, 1112_G_AT, 1355_G_AT, 1786_AT	146	190	19113	5.51204037491	0.334127025214	0.126766349793	0.931002841198
UP_SEQ_FEATURE	domain:Ig-like C2-type 2	8	5.19480519481	0.00064449624446	35038_AT, 31987_AT, 33530_AT, 33077_AT, 35956_S_AT, 1112_G_AT, 1355_G_AT, 1786_AT	146	191	19113	5.48318152478	0.341909559752	0.0993181825057	0.957789102066
INTERPRO	IPR002366:Defensin propeptide	3	1.94805194805	0.00070944642338	31793_AT, 31506_S_AT, 34623_AT, 34546_AT	143	5	16659	69.8979020979	0.247142475693	0.247142475693	0.985007935358
INTERPRO	IPR016327:Alpha-defensin	3	1.94805194805	0.00070944642338	31793_AT, 31506_S_AT, 34623_AT, 34546_AT	143	5	16659	69.8979020979	0.247142475693	0.247142475693	0.985007935358
INTERPRO	IPR006081:Alpha defensin	3	1.94805194805	0.00070944642338	31793_AT, 31506_S_AT, 34623_AT, 34546_AT	143	5	16659	69.8979020979	0.247142475693	0.247142475693	0.985007935358
GOTERM_BP_FAT	GO:0042742~defense response to bacterium	7	4.54545454545	0.000889960587337	33963_AT, 679_AT, 31793_AT, 1419_G_AT, 31506_S_AT, 37105_AT, 34623_AT, 34546_AT, 33979_AT	136	112	13528	6.21691176471	0.716557296905	0.34311638824	1.45830911571
UP_SEQ_FEATURE	sequence variant	110	71.4285714286	0.000966776275688	31621_S_AT, 38103_AT, 37968_AT, 39469_S_AT, 36713_AT, 35956_S_AT, 40058_S_AT, 1974_S_AT, 1112_G_AT, 36696_AT, 1901_S_AT, 37172_AT, 36766_AT, 34546_AT, 31987_AT, 1890_AT, 36436_AT, 966_AT, 33963_AT, 37814_G_AT, 38926_AT, 37408_AT, 36317_AT, 33246_AT, 37983_AT, 34012_AT, 34249_AT, 35121_AT, 32469_AT, 38604_AT, 32680_AT, 38229_AT, 32084_AT, 1331_S_AT, 36378_AT, 33027_AT, 38482_AT, 40317_AT, 31687_F_AT, 1419_G_AT, 38508_S_AT, 32279_AT, 37954_AT, 40959_AT, 33077_AT, 35648_AT, 33284_AT, 35915_AT, 1355_G_AT, 1855_AT, 32073_AT, 33685_AT, 1575_AT, 33922_AT, 41280_R_AT, 33979_AT, 38236_AT, 34636_AT, 37454_AT, 33516_AT, 1403_S_AT, 32250_AT, 35069_AT, 1645_AT, 1786_AT, 34972_S_AT, 31512_AT, 37096_AT, 40271_AT, 38816_AT, 37097_AT, 38201_AT, 919_AT, 40294_AT, 1983_AT, 1372_AT, 37105_AT, 35213_AT, 34436_AT, 35566_F_AT, 34233_I_AT, 35038_AT, 33530_AT, 35903_AT, 32148_AT, 41703_R_AT, 31525_S_AT, 34467_G_AT, 31576_AT, 35367_AT, 38128_AT, 35373_AT, 1910_S_AT, 37061_AT, 679_AT, 40735_AT, 34618_AT, 1391_S_AT, 39094_AT, 33080_S_AT, 38691_S_AT, 36421_AT, 35169_AT, 35439_AT, 34623_AT, 36479_AT, 36703_AT, 36328_AT, 39198_S_AT, 39187_AT, 37166_AT	146	11992	19113	1.2008176684	0.466203871383	0.117986801593	1.43351447641
PIR_SUPERFAMILY	PIRSF001875:alpha-defensin	3	1.94805194805	0.00121734746731	31793_AT, 31506_S_AT, 34623_AT, 34546_AT	84	5	7396	52.8285714286	0.115760205781	0.115760205781	1.34539963306
GOTERM_BP_FAT	GO:0042493~response to drug	9	5.84415584416	0.00145108763172	1974_S_AT, 38236_AT, 32084_AT, 1403_S_AT, 1575_AT, 1901_S_AT, 38128_AT, 966_AT, 1910_S_AT	136	216	13528	4.14460784314	0.872064920386	0.401936344612	2.36748986497
SP_PIR_KEYWORDS	oxygen carrier	3	1.94805194805	0.00157599968077	33516_AT, 31687_F_AT, 31525_S_AT	148	8	19235	48.7373310811	0.398225329735	0.0383138151799	2.10787360071
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	48	31.1688311688	0.00160871639781	33077_AT, 33284_AT, 35915_AT, 37968_AT, 1355_G_AT, 1855_AT, 33293_AT, 35090_G_AT, 35956_S_AT, 1575_AT, 33979_AT, 40350_AT, 38236_AT, 1112_G_AT, 32250_AT, 1901_S_AT, 37172_AT, 36766_AT, 1786_AT, 31987_AT, 37096_AT, 1890_AT, 37097_AT, 1372_AT, 37105_AT, 34436_AT, 35566_F_AT, 33963_AT, 38926_AT, 33684_AT, 33530_AT, 35903_AT, 37408_AT, 34467_G_AT, 679_AT, 37983_AT, 34618_AT, 35121_AT, 35091_AT, 37953_S_AT, 32439_AT, 32469_AT, 32084_AT, 1331_S_AT, 36378_AT, 35169_AT, 36328_AT, 40317_AT, 38508_S_AT, 2090_I_AT	146	4129	19113	1.52185178673	0.648272179496	0.159828806913	2.37475194422
INTERPRO	IPR013151:Immunoglobulin	8	5.19480519481	0.00173976478916	35038_AT, 31987_AT, 33530_AT, 33077_AT, 35956_S_AT, 1112_G_AT, 1786_AT, 35566_F_AT	143	202	16659	4.61372291075	0.501679569933	0.294081853139	2.39949078456
SP_PIR_KEYWORDS	heterotetramer	5	3.24675324675	0.00192601952695	31512_AT, 33516_AT, 31687_F_AT, 31525_S_AT, 35566_F_AT	148	69	19235	9.4178417548	0.46247300307	0.0433724649039	2.57040096911
INTERPRO	IPR006080:Mammalian defensin	3	1.94805194805	0.00195333230451	31793_AT, 31506_S_AT, 34623_AT, 34546_AT	143	8	16659	43.6861888112	0.542554267325	0.229487195658	2.69033193679
SP_PIR_KEYWORDS	polymorphism	106	68.8311688312	0.00261079095786	31621_S_AT, 38103_AT, 37968_AT, 39469_S_AT, 36713_AT, 35956_S_AT, 40058_S_AT, 1974_S_AT, 1112_G_AT, 36696_AT, 1901_S_AT, 37172_AT, 36766_AT, 34546_AT, 31987_AT, 1890_AT, 36436_AT, 966_AT, 33963_AT, 37814_G_AT, 38926_AT, 37408_AT, 36317_AT, 33246_AT, 37983_AT, 34012_AT, 34249_AT, 35121_AT, 32469_AT, 38604_AT, 32680_AT, 38229_AT, 32084_AT, 1331_S_AT, 36378_AT, 33027_AT, 38482_AT, 40317_AT, 31687_F_AT, 1419_G_AT, 38508_S_AT, 32279_AT, 37954_AT, 40959_AT, 35648_AT, 33077_AT, 33284_AT, 35915_AT, 1355_G_AT, 32073_AT, 33685_AT, 1575_AT, 33922_AT, 41280_R_AT, 33979_AT, 38236_AT, 34636_AT, 37454_AT, 33516_AT, 1403_S_AT, 32250_AT, 35069_AT, 1645_AT, 1786_AT, 34972_S_AT, 37096_AT, 40271_AT, 38816_AT, 37097_AT, 38201_AT, 919_AT, 40294_AT, 1983_AT, 1372_AT, 37105_AT, 35213_AT, 34436_AT, 35566_F_AT, 34233_I_AT, 35038_AT, 33530_AT, 35903_AT, 32148_AT, 41703_R_AT, 31525_S_AT, 34467_G_AT, 31576_AT, 35367_AT, 38128_AT, 35373_AT, 1910_S_AT, 37061_AT, 679_AT, 40735_AT, 1391_S_AT, 39094_AT, 33080_S_AT, 38691_S_AT, 35169_AT, 35439_AT, 34623_AT, 36479_AT, 36703_AT, 36328_AT, 39198_S_AT, 39187_AT, 37166_AT	148	11550	19235	1.19276354276	0.569054658676	0.0545726842167	3.46943320139
INTERPRO	IPR013783:Immunoglobulin-like fold	13	8.44155844156	0.00276141182065	35038_AT, 32469_AT, 33530_AT, 33077_AT, 1112_G_AT, 37968_AT, 1355_G_AT, 1786_AT, 31987_AT, 31512_AT, 35090_G_AT, 35956_S_AT, 35091_AT, 35566_F_AT	143	553	16659	2.73861581457	0.669150807999	0.241583942331	3.78352764624
SMART	SM00048:DEFSN	3	1.94805194805	0.00279228468973	31793_AT, 31506_S_AT, 34623_AT, 34546_AT	94	8	9079	36.2194148936	0.254425331494	0.254425331494	3.08353904208
SP_PIR_KEYWORDS	blood	3	1.94805194805	0.00304946233319	33516_AT, 31687_F_AT, 31525_S_AT	148	11	19235	35.4453316953	0.625972927001	0.0596133829387	4.04131892208
SP_PIR_KEYWORDS	fungicide	3	1.94805194805	0.00304946233319	31793_AT, 31506_S_AT, 34623_AT, 34546_AT	148	11	19235	35.4453316953	0.625972927001	0.0596133829387	4.04131892208
PIR_SUPERFAMILY	PIRSF500045:hemoglobin, vertebrate type	3	1.94805194805	0.00333467811637	33516_AT, 31687_F_AT, 31525_S_AT	84	8	7396	33.0178571429	0.286351907118	0.155223051402	3.64626778154
UP_SEQ_FEATURE	metal ion-binding site:Iron (heme distal ligand)	3	1.94805194805	0.00358904269106	33516_AT, 31687_F_AT, 31525_S_AT	146	12	19113	32.727739726	0.90304212694	0.283483568539	5.22581432554
SP_PIR_KEYWORDS	oxygen transport	3	1.94805194805	0.00364106115327	33516_AT, 31687_F_AT, 31525_S_AT	148	12	19235	32.4915540541	0.69104551669	0.066759034692	4.80760493407
INTERPRO	IPR007110:Immunoglobulin-like	12	7.79220779221	0.00377578013268	35038_AT, 31987_AT, 31512_AT, 33530_AT, 35090_G_AT, 33077_AT, 35956_S_AT, 35091_AT, 1112_G_AT, 37968_AT, 1355_G_AT, 1786_AT, 35566_F_AT	143	501	16659	2.79033541309	0.779789319853	0.261130608728	5.13965989455
INTERPRO	IPR000971:Globin, subset	3	1.94805194805	0.00450245585415	33516_AT, 31687_F_AT, 31525_S_AT	143	12	16659	29.1241258741	0.835533598288	0.25980491249	6.10023700082
INTERPRO	IPR012292:Globin	3	1.94805194805	0.00450245585415	33516_AT, 31687_F_AT, 31525_S_AT	143	12	16659	29.1241258741	0.835533598288	0.25980491249	6.10023700082
SP_PIR_KEYWORDS	disease mutation	23	14.9350649351	0.00471923442424	35038_AT, 1974_S_AT, 36421_AT, 38103_AT, 38691_S_AT, 33284_AT, 32084_AT, 31525_S_AT, 32250_AT, 31576_AT, 1855_AT, 35373_AT, 1910_S_AT, 1786_AT, 37096_AT, 37983_AT, 40735_AT, 34249_AT, 34618_AT, 31687_F_AT, 41280_R_AT, 39187_AT, 966_AT	148	1591	19235	1.87883279257	0.781984793638	0.0811401697602	6.18958647519
GOTERM_BP_FAT	GO:0032101~regulation of response to external stimulus	7	4.54545454545	0.005192037125	33963_AT, 37096_AT, 38604_AT, 37983_AT, 1403_S_AT, 39698_AT, 37172_AT	136	159	13528	4.37920828709	0.999370809586	0.771041685444	8.23042201848
SP_PIR_KEYWORDS	cell adhesion	10	6.49350649351	0.00521178872569	35038_AT, 40350_AT, 38926_AT, 35903_AT, 33077_AT, 1112_G_AT, 39511_AT, 38508_S_AT, 35169_AT, 1372_AT	148	422	19235	3.07976815678	0.814107071739	0.084749128724	6.81473017016
GOTERM_BP_FAT	GO:0042330~taxis	7	4.54545454545	0.00535111274905	33963_AT, 36703_AT, 31793_AT, 37454_AT, 1403_S_AT, 31506_S_AT, 36436_AT, 36766_AT	136	160	13528	4.35183823529	0.999498306623	0.718114289254	8.47224445346
GOTERM_BP_FAT	GO:0006935~chemotaxis	7	4.54545454545	0.00535111274905	33963_AT, 36703_AT, 31793_AT, 37454_AT, 1403_S_AT, 31506_S_AT, 36436_AT, 36766_AT	136	160	13528	4.35183823529	0.999498306623	0.718114289254	8.47224445346
UP_SEQ_FEATURE	metal ion-binding site:Iron (heme proximal ligand)	3	1.94805194805	0.00562536747233	33516_AT, 31687_F_AT, 31525_S_AT	146	15	19113	26.1821917808	0.974297599515	0.367228790726	8.07634634418
SP_PIR_KEYWORDS	phosphoprotein	72	46.7532467532	0.00567710384237	40959_AT, 35648_AT, 38103_AT, 1355_G_AT, 39469_S_AT, 37711_AT, 39908_AT, 32073_AT, 33685_AT, 33293_AT, 35090_G_AT, 40058_S_AT, 36234_AT, 1575_AT, 39511_AT, 33922_AT, 41280_R_AT, 1974_S_AT, 40350_AT, 38236_AT, 35595_AT, 32418_AT, 33516_AT, 1112_G_AT, 37905_R_AT, 1901_S_AT, 1645_AT, 1786_AT, 31987_AT, 40271_AT, 34720_AT, 38816_AT, 34606_S_AT, 919_AT, 40294_AT, 40790_AT, 1372_AT, 34436_AT, 34233_I_AT, 35038_AT, 37814_G_AT, 35903_AT, 38674_AT, 32148_AT, 37408_AT, 33246_AT, 31525_S_AT, 35367_AT, 35373_AT, 1910_S_AT, 37983_AT, 40735_AT, 35121_AT, 35091_AT, 38948_AT, 37953_S_AT, 31506_S_AT, 39094_AT, 32469_AT, 33080_S_AT, 32680_AT, 38691_S_AT, 31793_AT, 36421_AT, 32084_AT, 41489_AT, 35439_AT, 33371_S_AT, 1419_G_AT, 31687_F_AT, 38508_S_AT, 39198_S_AT, 32279_AT, 39187_AT	148	7263	19235	1.28838876051	0.840104709258	0.0875863293813	7.40175672736
GOTERM_CC_FAT	GO:0005833~hemoglobin complex	3	1.94805194805	0.00569164263746	33516_AT, 31687_F_AT, 31525_S_AT	124	12	12782	25.7701612903	0.69840172711	0.258933446803	6.95751161365
GOTERM_MF_FAT	GO:0005344~oxygen transporter activity	3	1.94805194805	0.00578866094839	33516_AT, 31687_F_AT, 31525_S_AT	117	13	12983	25.607495069	0.8826063179	0.348478210363	7.69059174591
SP_PIR_KEYWORDS	palmitate	7	4.54545454545	0.00596937460665	37983_AT, 41703_R_AT, 38691_S_AT, 34618_AT, 34467_G_AT, 919_AT, 32279_AT	148	213	19235	4.27119020429	0.854546457602	0.0877166919548	7.76872324211
PIR_SUPERFAMILY	PIRSF036518:globin	3	1.94805194805	0.00640860788278	33516_AT, 31687_F_AT, 31525_S_AT	84	11	7396	24.012987013	0.477616009748	0.194627827788	6.89980942789
INTERPRO	IPR013098:Immunoglobulin I-set	6	3.8961038961	0.00658008565617	35038_AT, 31987_AT, 35090_G_AT, 33077_AT, 35091_AT, 1112_G_AT, 1355_G_AT	143	138	16659	5.06506536941	0.928690943731	0.314253614783	8.79702893922
GOTERM_BP_FAT	GO:0009611~response to wounding	13	8.44155844156	0.00674821777236	33963_AT, 38236_AT, 34636_AT, 37454_AT, 1403_S_AT, 37968_AT, 32250_AT, 1901_S_AT, 1910_S_AT, 36703_AT, 919_AT, 1372_AT, 37954_AT	136	530	13528	2.43984461709	0.999931444256	0.745815466766	10.5705199815
GOTERM_BP_FAT	GO:0007267~cell-cell signaling	14	9.09090909091	0.00695901864599	38604_AT, 38236_AT, 37454_AT, 34618_AT, 1403_S_AT, 1890_AT, 40317_AT, 39511_AT, 32279_AT, 2090_I_AT, 1355_G_AT, 1372_AT, 1855_AT, 1786_AT	136	600	13528	2.32098039216	0.99994924078	0.709471081723	10.8831647585
GOTERM_BP_FAT	GO:0015671~oxygen transport	3	1.94805194805	0.00717465076369	33516_AT, 31687_F_AT, 31525_S_AT	136	13	13528	22.9547511312	0.999962677921	0.677895937014	11.2019123643
GOTERM_BP_FAT	GO:0050832~defense response to fungus	3	1.94805194805	0.00717465076369	31793_AT, 31506_S_AT, 34623_AT, 34546_AT	136	13	13528	22.9547511312	0.999962677921	0.677895937014	11.2019123643
GOTERM_BP_FAT	GO:0007610~behavior	12	7.79220779221	0.00729699676617	33963_AT, 38604_AT, 38236_AT, 37454_AT, 31793_AT, 1403_S_AT, 1355_G_AT, 36766_AT, 1910_S_AT, 36703_AT, 34249_AT, 31506_S_AT, 36436_AT	136	469	13528	2.54508967766	0.999968654195	0.645498609378	11.38228781
GOTERM_CC_FAT	GO:0000267~cell fraction	20	12.987012987	0.00745898733461	1974_S_AT, 33080_S_AT, 38236_AT, 38229_AT, 1403_S_AT, 33246_AT, 34467_G_AT, 1910_S_AT, 1786_AT, 33685_AT, 36703_AT, 40058_S_AT, 40735_AT, 1575_AT, 1391_S_AT, 37097_AT, 37166_AT, 34436_AT, 35566_F_AT, 33979_AT	124	1083	12782	1.90361302237	0.792424133584	0.269810855956	9.02545603975
SP_PIR_KEYWORDS	duplication	7	4.54545454545	0.00822587879187	38926_AT, 35956_S_AT, 1575_AT, 1112_G_AT, 1901_S_AT, 37954_AT, 35566_F_AT	148	228	19235	3.99019084874	0.9300298924	0.113872887664	10.5569187024
INTERPRO	IPR003598:Immunoglobulin subtype 2	7	4.54545454545	0.0082876632013	35038_AT, 31987_AT, 35090_G_AT, 33077_AT, 35956_S_AT, 35091_AT, 1112_G_AT, 1355_G_AT	143	205	16659	3.97792938769	0.964166738564	0.340392185355	10.9594668928
