From	To	Species	Gene Name
RADA	24832409	Methanosarcina horonobensis HB-1 = JCM 15518	DNA repair and recombination protein RadA(radA)
RADA	12509610	Methanosaeta harundinacea 6Ac	DNA repair and recombination protein RadA(radA)
RADA	24884120	Methanosarcina barkeri CM1	DNA repair and recombination protein RadA(radA)
RADA	24892729	Methanococcoides methylutens MM1	DNA repair and recombination protein RadA(radA)
RADA	24789030	Methanosarcina barkeri 3	DNA repair and recombination protein RadA(radA)
RADA	3278090	Vibrio fischeri ES114	DNA repair protein RadA(radA)
RADA	3090772	Burkholderia mallei ATCC 23344	DNA repair protein RadA(radA)
RADA	10823574	Methanosalsum zhilinae DSM 4017	DNA repair and recombination protein RadA(radA)
RADA	13698265	Candidatus Nitrosopumilus sp. AR2	DNA repair and recombination protein RadA(radA)
RADA	1251121	Salmonella enterica subsp. enterica serovar Typhi str. CT18	DNA repair protein(radA)
RADA	2687470	Geobacter sulfurreducens PCA	DNA repair protein RadA(radA)
RADA	15393523	Archaeoglobus sulfaticallidus PM70-1	DNA repair and recombination protein RadA(radA)
RADA	4847111	Methanoculleus marisnigri JR1	DNA repair and recombination protein RadA(radA)
RADA	5953925	Halobacterium salinarum R1	DNA repair and recombination protein RadA(radA)
RADA	1169052	Shewanella oneidensis MR-1	ATP-dependent protease RadA(radA)
RADA	950453	Haemophilus influenzae Rd KW20	DNA repair protein RadA(radA)
RADA	16573931	Thermofilum sp. 1910b	DNA repair and recombination protein RadA(radA)
RADA	26660296	Halobacterium hubeiense	DNA repair and recombination protein RadA(radA)
RADA	13352592	Natrinema sp. J7-2	DNA repair and recombination protein RadA(radA)
RADA	1001606	Xanthomonas campestris pv. campestris str. ATCC 33913	DNA repair protein RadA(radA)
RADA	24823953	Methanosarcina barkeri str. Wiesmoor	DNA repair and recombination protein RadA(radA)
RADA	3130492	Haloarcula marismortui ATCC 43049	DNA repair and recombination protein RadA(radA)
RADA	24834430	Methanosarcina sp. WWM596	DNA repair and recombination protein RadA(radA)
RADA	936872	Bacillus subtilis subsp. subtilis str. 168	DNA repair protein RadA(radA)
RADA	14404389	Natronococcus occultus SP4	DNA repair and recombination protein RadA(radA)
RADA	1198948	Enterococcus faecalis V583	DNA repair protein RadA(radA)
RADA	24877018	Methanosarcina mazei LYC	DNA repair and recombination protein RadA(radA)
RADA	1448847	Halobacterium salinarum NRC-1	DNA repair and recombination protein RadA(radA)
RADA	1256105	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	DNA repair protein RadA(radA)
RADA	905495	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	DNA repair protein RadA(radA)
RADA	14650520	Natronomonas moolapensis 8.8.11	DNA repair and recombination protein RadA(radA)
RADA	5858120	Chlamydia trachomatis 434/Bu	DNA repair protein RadA(radA)
RADA	13355017	Methanoculleus bourgensis MS2	DNA repair and recombination protein RadA(radA)
RADA	11262567	Thermoproteus tenax Kra 1	DNA repair and recombination protein RadA(radA)
RADA	14333218	Natrinema pellirubrum DSM 15624	DNA repair and recombination protein RadA(radA)
RADA	24813135	Methanosarcina sp. WH1	DNA repair and recombination protein RadA(radA)
RADA	884816	Chlamydia trachomatis D/UW-3/CX	DNA repair protein RadA(radA)
RADA	14208932	Natronobacterium gregoryi SP2	DNA repair and recombination protein RadA(radA)
RADA	8982380	Methanohalophilus mahii DSM 5219	DNA repair and recombination protein RadA(radA)
RADA	3720072	Rhodobacter sphaeroides 2.4.1	DNA replication and repair protein RadA(radA)
RADA	24859792	Methanosarcina siciliae T4/M	DNA repair and recombination protein RadA(radA)
RADA	24880729	Methanosarcina mazei C16	DNA repair and recombination protein RadA(radA)
RADA	25155859	Haloarcula sp. CBA1115	DNA repair and recombination protein RadA(radA)
RADA	24827038	Methanosarcina sp. Kolksee	DNA repair and recombination protein RadA(radA)
RADA	24795201	Archaeoglobus fulgidus DSM 8774	DNA repair and recombination protein RadA(radA)
RADA	7399850	Halorubrum lacusprofundi ATCC 49239	DNA repair and recombination protein RadA(radA)
RADA	2600807	Gloeobacter violaceus PCC 7421	DNA repair protein RadA(radA)
RADA	5186879	Clostridium botulinum A str. ATCC 3502	DNA repair protein RadA(radA)
RADA	3625323	Methanosarcina barkeri str. Fusaro	DNA repair and recombination protein RadA(radA)
RADA	1173288	Yersinia pestis CO92	DNA repair protein RadA(radA)
RADA	1086967	Bacillus anthracis str. Ames	DNA repair protein RadA(radA)
RADA	9991936	Halogeometricum borinquense DSM 11551	DNA repair and recombination protein RadA(radA)
RADA	10393264	Archaeoglobus veneficus SNP6	DNA repair and recombination protein RadA(radA)
RADA	26011467	Halanaeroarchaeum sulfurireducens	DNA repair and recombination protein RadA(radA)
RADA	2856786	[Bacillus thuringiensis] serovar konkukian str. 97-27	DNA repair protein RadA(radA)
RADA	10796248	Halopiger xanaduensis SH-6	DNA repair and recombination protein RadA(radA)
RADA	1061574	Lactobacillus plantarum WCFS1	DNA repair protein RadA(radA)
RADA	24838470	Methanosarcina mazei S-6	DNA repair and recombination protein RadA(radA)
RADA	5710291	Caldivirga maquilingensis IC-167	DNA repair and recombination protein RadA(radA)
RADA	24847996	Methanosarcina thermophila TM-1	DNA repair and recombination protein RadA(radA)
RADA	13978126	Bordetella bronchiseptica 253	DNA repair protein(radA)
RADA	24810054	Methanosarcina vacuolata Z-761	DNA repair and recombination protein RadA(radA)
RADA	8383548	Halorhabdus utahensis DSM 12940	DNA repair and recombination protein RadA(radA)
RADA	24874659	Candidatus Nitrosotenuis cloacae	DNA repair and recombination protein RadA(radA)
RADA	25140127	Halobacterium sp. DL1	DNA repair and recombination protein radA(radA)
RADA	887287	Mycobacterium tuberculosis H37Rv	DNA repair protein RadA(radA)
RADA	1041864	Pseudomonas putida KT2440	DNA repair enzyme(radA)
RADA	8778966	Ferroglobus placidus DSM 10642	DNA repair and recombination protein RadA(radA)
RADA	2796026	Desulfovibrio vulgaris str. Hildenborough	DNA repair protein RadA(radA)
RADA	25401496	Thermofilum sp. 1807-2	DNA repair and recombination protein RadA(radA)
RADA	1186323	[Pseudomonas syringae] pv. tomato str. DC3000	DNA repair protein RadA(radA)
RADA	8797436	Streptococcus mitis B6	DNA repair protein(RadA)
RADA	24807200	Methanosarcina lacustris Z-7289	DNA repair and recombination protein RadA(radA)
RADA	24863945	Methanosarcina mazei SarPi	DNA repair and recombination protein RadA(radA)
RADA	24850474	Methanosarcina mazei WWM610	DNA repair and recombination protein RadA(radA)
RADA	4916496	Clostridioides difficile 630	DNA repair protein RadA(radA)
RADA	13891056	Bordetella parapertussis Bpp5	DNA repair protein(radA)
RADA	902897	Neisseria meningitidis MC58	DNA repair protein RadA(radA)
RADA	14408363	Methanomethylovorans hollandica DSM 15978	DNA repair and recombination protein RadA(radA)
RADA	2739029	Treponema denticola ATCC 35405	DNA repair protein RadA(radA)
RADA	7157898	Escherichia coli UMN026	DNA repair protein RadA(radA)
RADA	14310065	Methanoregula formicica SMSP	DNA repair and recombination protein RadA(radA)
RADA	4535537	Mycobacterium smegmatis str. MC2 155	DNA repair protein RadA(radA)
RADA	3252017	Lactobacillus acidophilus NCFM	DNA repair protein RadA(radA)
RADA	1021823	Bifidobacterium longum NCC2705	radA(radA)
RADA	11049055	Haloarcula hispanica ATCC 33960	DNA repair and recombination protein RadA(radA)
RADA	3977282	Lactobacillus salivarius UCC118	DNA repair protein RadA(radA)
RADA	5410633	Methanoregula boonei 6A8	DNA repair and recombination protein RadA(radA)
RADA	3853157	Salinibacter ruber DSM 13855	DNA repair protein RadA(radA)
RADA	1012879	Streptococcus agalactiae 2603V/R	DNA repair protein RadA(radA)
RADA	1484216	Archaeoglobus fulgidus DSM 4304	DNA repair and recombination protein RadA(radA)
RADA	24845225	Methanosarcina barkeri MS	DNA repair and recombination protein RadA(radA)
RADA	1232770	Sinorhizobium meliloti 1021	DNA repair protein RadA(radA)
RADA	13001344	Enterococcus faecium DO	DNA repair protein RadA(radA)
RADA	1048775	Bradyrhizobium diazoefficiens USDA 110	DNA repair protein RadA(radA)
RADA	1478799	Methanosarcina mazei Go1	DNA repair and recombination protein RadA(radA)
RADA	10462174	Methanosaeta concilii GP6	DNA repair and recombination protein RadA(radA)
RADA	19833891	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	DNA repair protein RadA(radA)
RADA	9753473	Vulcanisaeta distributa DSM 14429	DNA repair and recombination protein RadA(radA)
RADA	4806094	Streptococcus sanguinis SK36	DNA repair protein RadA(radA)
RADA	13026286	Haloferax mediterranei ATCC 33500	DNA repair and recombination protein RadA(radA)
RADA	10288512	Vulcanisaeta moutnovskia 768-28	DNA repair and recombination protein RadA(radA)
RADA	24872817	Methanosarcina siciliae C2J	DNA repair and recombination protein RadA(radA)
RADA	25160251	Halanaeroarchaeum sulfurireducens	DNA repair and recombination protein RadA(radA)
RADA	24794598	Archaeoglobus fulgidus DSM 8774	DNA repair and recombination protein RadA(radA)
RADA	881107	Pseudomonas aeruginosa PAO1	DNA repair protein RadA(radA)
RADA	1093449	Mycobacterium bovis AF2122/97	DNA repair protein RadA(radA)
ARGX	945107	Escherichia coli str. K-12 substr. MG1655	tRNA(argX)
ARGX	1255457	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	tRNA(argX)
ARGX	915221	Escherichia coli O157:H7 str. Sakai	tRNA(argX)
OSMY	3795336	Shigella dysenteriae Sd197	hypothetical protein(osmY)
OSMY	1793963	Rhodopirellula baltica SH 1	osmotically inducible protein Y(osmY)
OSMY	1170255	Shewanella oneidensis MR-1	osmotic shock-inducible lipoprotein OsmY(osmY)
OSMY	1025054	Shigella flexneri 2a str. 301	periplasmic protein(osmY)
OSMY	7157519	Escherichia coli UMN026	periplasmic protein(osmY)
OSMY	1256087	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	hyperosmotically inducible periplasmic protein(osmY)
OSMY	948895	Escherichia coli str. K-12 substr. MG1655	salt-inducible putative ABC transporter periplasmic binding protein(osmY)
OSMY	9439748	Amycolatopsis mediterranei U32	osmotically inducible periplasmic protein OsmY(osmY)
OSMY	19833824	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	periplasmic, osmotically inducible protein Y-like(osmY)
OSMY	19831948	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	osmotically inducible protein Y(osmY)
OSMY	7152474	Escherichia coli IAI39	periplasmic protein(osmY)
OSMY	1173277	Yersinia pestis CO92	hypothetical protein(osmY)
ATPB	19591493	Neyraudia reynaudiana	ATP synthase CF1 beta subunit(atpB)
ATPB	20358517	Aegilops longissima	protein-coding(atpB)
ATPB	22159915	Microthamnion kuetzingianum	CF1 beta subunit of ATP synthase(atpB)
ATPB	26047698	Machilus balansae	ATP synthase CF1 beta subunit(atpB)
ATPB	3989431	Solanum bulbocastanum	ATP synthase CF1 beta subunit(atpB)
ATPB	27111435	Schefflera heptaphylla	ATP synthase CF1 beta subunit(atpB)
ATPB	11030083	Spirodela polyrhiza	ATP synthase CF1 beta subunit(atpB)
ATPB	29070410	Asparagopsis taxiformis	ATP synthase CF1 beta subunit(atpB)
ATPB	4271297	Platanus occidentalis	ATP synthase CF1 beta subunit(atpB)
ATPB	27073509	Mychonastes homosphaera	CF1 beta subunit of ATP synthase(atpB)
ATPB	10744398	Olea europaea subsp. maroccana	ATPase beta subunit(atpB)
ATPB	29141377	Oryza sativa	AtpB(atpB)
ATPB	2896263	Nymphaea alba	ATPase beta chain(atpB)
ATPB	15823397	Cymbidium sinense	ATP synthase CF1 beta chain(atpB)
ATPB	22164237	Corallorhiza macrantha	ATP synthase CF1 beta subunit(atpB)
ATPB	27213301	Monsonia marlothii	ATP synthase CF1 beta subunit(atpB)
ATPB	26381640	Otatea glauca	ATP synthase CF1 beta subunit(atpB)
ATPB	4962331	Aethionema grandiflorum	ATP synthase CF1 beta subunit(atpB)
ATPB	26119302	Eutrema salsugineum	ATP synthase CF1 beta subunit(atpB)
ATPB	857053	Guillardia theta	ATPase beta chain(atpB)
ATPB	18127048	Gossypium longicalyx	ATP synthase CF1 beta subunit(atpB)
ATPB	29123785	Chasechloa egregia	ATPase beta subunit(atpB)
ATPB	27985267	Cylindrocystis brebissonii	CF1 beta subunit of ATP synthase(atpB)
ATPB	24404186	Chikusichloa aquatica	ATP synthase CF1 beta subunit(atpB)
ATPB	23765167	Iochroma loxense	ATP synthase CF1 beta subunit(atpB)
ATPB	14657739	Taxus mairei	ATP synthase CF1 beta subunit(atpB)
ATPB	17098495	Camellia pitardii	ATP synthase CF1 beta subunit(atpB)
ATPB	1109511	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	ATP synthase F0F1 subunit A(atpB)
ATPB	1790465	Rhodopirellula baltica SH 1	ATP synthase F0F1 subunit A(atpB)
ATPB	27214533	Phyllostegia velutina	(atpB)
ATPB	26888232	Cochlearia pyrenaica	ATP synthase CF1 beta subunit(atpB)
ATPB	18129704	Pelargonium alternans	ATP synthase CF1 beta subunit(atpB)
ATPB	23631807	Lithocarpus balansae	ATP synthase CF1 beta subunit(atpB)
ATPB	3950387	Solanum lycopersicum	ATP synthase CF1 beta subunit(atpB)
ATPB	24146310	Solanum chilense	ATP synthase CF1 beta subunit(atpB)
ATPB	9829829	Geranium palmatum	ATP synthase CF1 beta subunit(atpB)
ATPB	26375037	Plantago maritima	ATP synthase CF1 beta subunit(atpB)
ATPB	29077439	Pelargonium transvaalense	ATP synthase CF1 beta subunit(atpB)
ATPB	26892545	Ligusticum tenuissimum	AtpB(atpB)
ATPB	26218932	Bletilla striata	ATP synthase CF1 beta chain(atpB)
ATPB	15382674	Vigna angularis	ATP synthase CF1 beta subunit(atpB)
ATPB	24120965	Abies koreana	ATP synthase CF1 beta chain(atpB)
ATPB	6166590	Cryptomeria japonica	ATP synthase CF1 beta subunit(atpB)
ATPB	26895042	Euptelea pleiosperma	ATP synthase CF1 beta subunit(atpB)
ATPB	27249492	Hanguana malayana	ATP synthase CF1 beta subunit(atpB)
ATPB	19018843	Juniperus bermudiana	ATP synthase CF1 beta subunit(atpB)
ATPB	27440594	Urochloa humidicola	ATP synthase CF1 beta subunit(atpB)
ATPB	17080924	Eucalyptus cloeziana	ATP synthase CF1 beta subunit(atpB)
ATPB	11747662	Pentactina rupicola	ATP synthase CF1 beta subunit(atpB)
ATPB	28481202	Aconitum carmichaelii	ATP synthase CF1 beta subunit(atpB)
ATPB	20129375	Fargesia nitida	ATP synthase CF1 beta subunit(atpB)
ATPB	3772895	Lactuca sativa	ATPase beta chain(atpB)
ATPB	29082096	Ipomoea nil	ATP synthase CF1 beta subunit(atpB)
ATPB	27218841	Distichlis spicata	ATP synthase CF1 beta subunit(atpB)
ATPB	26522361	Leucaena trichandra	ATP synthase CF1 beta subunit(atpB)
ATPB	24703087	Pinus taiwanensis	H+-ATPase beta subunit(atpB)
ATPB	25016021	Oryza longistaminata	ATP synthase CF1 beta subunit(atpB)
ATPB	26834399	Guadua chacoensis	ATP synthase CF1 beta subunit(atpB)
ATPB	19739341	Parinari campestris	ATP synthase CF1 beta subunit(atpB)
ATPB	29075289	Persea americana	ATP synthase CF1 beta subunit(atpB)
ATPB	27211055	Stenogyne haliakalae	ATP synthase CF1 beta subunit(atpB)
ATPB	17962282	Helianthus decapetalus	ATP synthase CF1 beta subunit(atpB)
ATPB	24248853	Greslania sp. McPherson 19217	ATP synthase CF1 beta subunit(atpB)
ATPB	17083100	Eucalyptus microcorys	ATP synthase CF1 beta subunit(atpB)
ATPB	25017946	Melica subulata	ATP synthase CF1 beta subunit(atpB)
ATPB	26520392	Miscanthus sinensis	ATP synthase CF1 beta subunit(atpB)
ATPB	27216406	Pyropia pulchra	ATP synthase CF1 beta subunit(atpB)
ATPB	26038140	Epipremnum aureum	ATP synthase CF1 beta subunit(atpB)
ATPB	28479293	Cakile arabica	ATP synthase CF1 beta subunit(atpB)
ATPB	25018730	Poa palustris	ATP synthase CF1 beta subunit(atpB)
ATPB	26043783	Colpothrinax cookii	ATP synthase CF1 beta subunit(atpB)
ATPB	16693638	Aegilops tauschii	ATP synthase CF1 beta subunit(atpB)
ATPB	11541079	Silene latifolia	ATP synthase CF1 beta subunit(atpB)
ATPB	26379694	Tilia paucicostata	ATP synthase CF1 beta subunit(atpB)
ATPB	20159677	Fritillaria cirrhosa	ATP synthase CF1 beta subunit(atpB)
ATPB	11548718	Millettia pinnata	ATP synthase CF1 beta subunit(atpB)
ATPB	24251041	Prunus padus	ATP synthase CF1 beta subunit(atpB)
ATPB	801656	Cyanophora paradoxa	ATPase beta chain(atpB)
ATPB	4962429	Olimarabidopsis pumila	ATP synthase CF1 beta subunit(atpB)
ATPB	27247502	Mauritia flexuosa	ATP synthase CF1 beta subunit(atpB)
ATPB	27107649	Monsonia emarginata	ATP synthase CF1 beta subunit(atpB)
ATPB	26896921	Cynanchum wilfordii	AtpB(atpB)
ATPB	27909390	Bruinsmia polysperma	ATP synthase CF1 beta subunit(atpB)
ATPB	24417845	Lathyrus clymenum	ATP synthase CF1 beta subunit(atpB)
ATPB	11030209	Magnolia kwangsiensis	ATP synthase CF1 beta subunit(atpB)
ATPB	20356663	Orobanche crenata	ATP synthase CF1 beta subunit(atpB)
ATPB	15823538	Cymbidium tortisepalum	ATP synthase CF1 beta chain(atpB)
ATPB	26047570	Machilus yunnanensis	ATP synthase CF1 beta subunit(atpB)
ATPB	9385436	Durinskia baltica	ATP synthase CF1 beta subunit(atpB)
ATPB	28479429	Perilla setoyensis	AtpB(atpB)
ATPB	26218776	Pinus bungeana	ATP synthase CF1 beta subunit(atpB)
ATPB	25396841	Sinopodophyllum hexandrum	ATP synthase CF1 beta subunit(atpB)
ATPB	16792180	Camellia taliensis	ATP synthase CF1 beta subunit(atpB)
ATPB	24287844	Dunalia solanacea	ATP synthase CF1 beta subunit(atpB)
ATPB	27073393	Neochloris aquatica	CF1 beta subunit of ATP synthase(atpB)
ATPB	18126915	Gossypium herbaceum	ATP synthase CF1 beta subunit(atpB)
ATPB	22164360	Corallorhiza mertensiana	ATP synthase CF1 beta subunit(atpB)
ATPB	23765025	Salix purpurea	ATP synthase CF1 beta subunit(atpB)
ATPB	27911725	Bangia atropurpurea	atpB(atpB)
ATPB	9480932	Chromera velia	ATP synthase CF1 beta subunit(atpB)
ATPB	27214400	Phyllostegia velutina	ATP synthase CF1 beta subunit(atpB)
ATPB	3989272	Glycine max	ATP synthase CF1 beta subunit(atpB)
ATPB	14841282	Artemisia frigida	ATP synthase CF1 beta chain(atpB)
ATPB	7791673	Sinorhizobium fredii NGR234	F0F1 ATP synthase subunit A(atpB)
ATPB	18490883	Deschampsia antarctica	ATPase beta chain(atpB)
ATPB	17098357	Camellia impressinervis	protein-coding(atpB)
ATPB	3720948	Rhodobacter sphaeroides 2.4.1	ATP synthase F0 subcomplex A subunit(atpB)
ATPB	26888360	Cochlearia tridactylites	ATP synthase CF1 beta subunit(atpB)
ATPB	5184407	Clostridium botulinum A str. ATCC 3502	ATP synthase F0F1 subunit B(atpB)
ATPB	14657613	Chrysanthemum indicum	ATP synthase CF1 beta subunit(atpB)
ATPB	25194287	Capsella rubella	ATP synthase CF1 beta subunit(atpB)
ATPB	4271212	Citrus sinensis	ATP synthase CF1 beta subunit(atpB)
ATPB	25768178	Bupleurum falcatum	AtpB(atpB)
ATPB	14675081	Trithuria inconspicua	AtpB(atpB)
ATPB	24571276	Cryptoglena skujai	ATPase beta subunit(atpB)
ATPB	27213144	Astragalus mongholicus	ATP synthase CF1 beta subunit(atpB)
ATPB	26836405	Aquilaria sinensis	ATP synthase CF1 beta subunit(atpB)
ATPB	19737491	Cypripedium macranthos	ATP synthase CF1 beta subunit(atpB)
ATPB	16205299	Prinsepia utilis	ATP synthase CF1 beta subunit(atpB)
ATPB	26381794	Brighamia insignis	ATP synthase CF1 beta subunit(atpB)
ATPB	29072489	Sebdenia flabellata	ATP synthase CF1 beta subunit(atpB)
ATPB	27249626	Eugeissona tristis	ATP synthase CF1 beta subunit(atpB)
ATPB	22242415	Boulardia latisquama	pseudo(atpB)
ATPB	14469283	Equisetum hyemale	ATP synthase subunit beta(atpB)
ATPB	5729683	Cuscuta exaltata	ATP synthase CF1 beta subunit(atpB)
ATPB	26890520	Goodyera velutina	ATP synthase CF1 beta subunit(atpB)
ATPB	27218710	Distichlis bajaensis	ATP synthase CF1 beta subunit(atpB)
ATPB	24250911	Prunus maximowiczii	ATP synthase CF1 beta subunit(atpB)
ATPB	19739209	Hirtella physophora	ATP synthase CF1 beta subunit(atpB)
ATPB	27211189	Stenogyne bifida	ATP synthase CF1 beta subunit(atpB)
ATPB	29200550	Ostreobium quekettii	ATP synthase CF1 subunit beta(atpB)
ATPB	20834213	Thalassiosira weissflogii	ATP synthase CF1 beta subunit(atpB)
ATPB	29075417	Phoebe omeiensis	ATP synthase CF1 beta subunit(atpB)
ATPB	10351911	Hevea brasiliensis	ATP synthase CF1 beta subunit(atpB)
ATPB	24571372	Monomorphina parapyrum	ATPase beta subunit(atpB)
ATPB	27109730	Sciadopitys verticillata	ATP synthase CF1 beta chain(atpB)
ATPB	9480884	Chromera velia	ATP synthase CF1 beta subunit(atpB)
ATPB	1176955	Yersinia pestis CO92	ATP synthase F0F1 subunit A(atpB)
ATPB	25014261	Gentiana straminea	ATP synthase CF1 beta subunit(atpB)
ATPB	4962508	Arabis hirsuta	ATP synthase CF1 beta subunit(atpB)
ATPB	26894910	Epimedium sagittatum	ATP synthase CF1 beta subunit(atpB)
ATPB	25015896	Oryza glumipatula	ATP synthase CF1 beta subunit(atpB)
ATPB	24248982	Hickelia madagascariensis	ATP synthase CF1 beta subunit(atpB)
ATPB	24417936	Lathyrus odoratus	ATP synthase CF1 beta subunit(atpB)
ATPB	801750	Odontella sinensis	ATPase beta chain(atpB)
ATPB	25018076	Oryzopsis asperifolia	ATP synthase CF1 beta subunit(atpB)
ATPB	29077331	Pelargonium tetragonum	ATP synthase CF1 beta subunit(atpB)
ATPB	24019528	Paphiopedilum armeniacum	ATP synthase CF1 subunit beta(atpB)
ATPB	27440463	Urochloa ruziziensis	ATP synthase CF1 beta subunit(atpB)
ATPB	26522223	Inga leiocalycina	ATP synthase CF1 beta subunit(atpB)
ATPB	17082964	Eucalyptus salmonophloia	ATP synthase CF1 beta subunit(atpB)
ATPB	19018957	Juniperus monosperma	ATP synthase CF1 beta subunit(atpB)
ATPB	17962415	Helianthus hirsutus	ATP synthase CF1 beta subunit(atpB)
ATPB	15331961	Pachycladon cheesemanii	ATP synthase CF1 beta subunit(atpB)
ATPB	24573039	Scutellaria baicalensis	ATP synthase CF1 beta subunit(atpB)
ATPB	6481213	Paulinella chromatophora	ATP synthase subunit B(atpB)
ATPB	26379563	Tilia oliveri	ATP synthase CF1 beta subunit(atpB)
ATPB	22160068	Gloeotilopsis sterilis	CF1 beta subunit of ATP synthase(atpB)
ATPB	4099783	Tetradesmus obliquus	ATP synthase CF1 beta subunit(atpB)
ATPB	1012192	Thermosynechococcus elongatus BP-1	ATP synthase F0F1 subunit beta(atpB)
ATPB	9829663	Eucalyptus grandis	ATP synthase CF1 beta subunit(atpB)
ATPB	20005951	Phyllostachys sulphurea	ATP synthase CF1 beta subunit(atpB)
ATPB	25018861	Puccinellia nuttalliana	ATP synthase CF1 beta subunit(atpB)
ATPB	19908637	Paris verticillata	ATP synthase CF1 beta chain(atpB)
ATPB	26038271	Tanaecium tetragonolobum	ATP synthase CF1 beta subunit(atpB)
ATPB	10965401	Bambusa emeiensis	ATP synthase CF1 beta subunit(atpB)
ATPB	17081060	Eucalyptus patens	ATP synthase CF1 beta subunit(atpB)
ATPB	11258357	Larix decidua	ATP synthase CF1 beta chain(atpB)
ATPB	20523664	Elytrophorus spicatus	ATP synthase CF1 beta subunit(atpB)
